Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
7,13,597.2119,3.2572,121.3512,2.9197,0.435700,N/A,N/A,N/A
7,14,599.1715,3.2417,118.5499,3.3852,0.438600,N/A,N/A,N/A
7,15,599.1715,3.2417,114.4472,3.3852,0.438600,N/A,N/A,N/A
7,16,597.6761,3.1037,117.4068,3.2667,0.437200,N/A,N/A,N/A
7,17,597.6761,3.2031,117.4068,3.2667,0.437500,N/A,N/A,N/A
7,18,599.8095,3.2164,117.5129,3.4568,0.439200,N/A,N/A,N/A
7,19,599.8095,3.2164,117.5129,3.4568,0.439200,N/A,N/A,N/A
7,20,598.4502,3.1502,120.1050,3.4072,0.438200,N/A,N/A,N/A
7,21,585.3175,3.1502,120.1050,3.4072,0.432600,N/A,N/A,N/A
7,22,600.0000,3.1414,118.8694,3.4464,0.439000,N/A,N/A,N/A
7,23,598.5132,3.1414,118.8694,3.4464,0.438400,N/A,N/A,N/A
7,24,599.1715,3.2290,116.8793,3.4966,0.439100,N/A,N/A,N/A
7,25,599.1145,2.8654,116.8793,3.6924,0.437900,N/A,N/A,N/A
7,26,600.0000,3.1236,117.9483,3.4352,0.438900,N/A,N/A,N/A
7,27,600.0000,3.0605,119.3783,3.4352,0.438700,N/A,N/A,N/A
7,28,598.4502,3.0850,123.6693,3.4632,0.438200,N/A,N/A,N/A
7,29,598.4502,3.0850,121.2410,3.4632,0.438200,N/A,N/A,N/A
7,30,600.0000,3.0042,127.1570,3.3442,0.438000,N/A,N/A,N/A
7,31,594.7689,3.2154,118.4344,3.3511,0.436600,N/A,N/A,N/A
7,32,600.0000,3.1168,118.4023,3.4104,0.438800,N/A,N/A,N/A
