Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
6,4,591.0366,3.2112,119.4907,3.0944,0.518200,0.433800,0.644800,N/A
6,5,591.0366,2.7818,119.4907,3.5233,0.517480,0.433200,0.643900,N/A
6,6,589.1607,3.3417,119.8439,3.1671,0.517820,0.433300,0.644600,N/A
6,7,589.1607,3.2275,117.0776,3.0459,0.517280,0.432800,0.644000,N/A
6,8,590.1008,3.2213,122.4843,3.3958,0.519380,0.434700,0.646400,N/A
6,9,590.1008,3.2213,122.9251,3.6707,0.520580,0.435700,0.647900,N/A
6,10,596.3778,3.4229,113.7615,3.4570,0.521580,0.437300,0.648000,N/A
6,11,587.7759,3.2090,120.3875,3.2321,0.517720,0.433000,0.644800,N/A
6,12,594.0595,3.2424,118.0495,3.1076,0.519500,0.435300,0.645800,N/A
6,13,592.9798,3.1179,120.1948,3.1352,0.518980,0.434700,0.645400,N/A
6,14,586.8534,3.2071,121.5364,3.1977,0.517220,0.432500,0.644300,N/A
6,15,586.8534,3.1920,121.5364,3.1977,0.517120,0.432400,0.644200,N/A
6,16,590.1436,3.3159,125.7531,3.3958,0.519340,0.434700,0.646300,N/A
6,17,590.1436,3.3159,122.2191,3.3958,0.519340,0.434700,0.646300,N/A
6,18,593.3113,3.3182,123.7282,3.5845,0.521440,0.436800,0.648400,N/A
6,19,596.8799,3.3182,119.2118,3.5845,0.522800,0.438400,0.649400,N/A
6,20,591.3974,3.2579,123.7032,3.3796,0.519800,0.435200,0.646700,N/A
6,21,591.3974,3.2579,123.7032,3.3796,0.519800,0.435200,0.646700,N/A
6,22,589.3631,3.2357,122.4938,3.3365,0.518780,0.434100,0.645800,N/A
6,23,589.3631,3.2357,122.4938,3.3365,0.518780,0.434100,0.645800,N/A
6,24,584.5807,3.3234,122.4454,3.1025,0.515660,0.430900,0.642800,N/A
6,25,588.2320,3.3234,122.4454,3.1025,0.517120,0.432600,0.643900,N/A
6,26,596.0673,3.2220,123.2269,3.1318,0.520280,0.436200,0.646400,N/A
6,27,600.0000,3.4203,123.2269,3.0310,0.520720,0.437000,0.646300,N/A
6,28,588.6786,3.6375,116.7264,3.1988,0.516120,0.431800,0.642600,N/A
6,29,587.2511,3.2557,119.8038,3.3990,0.518340,0.433500,0.645600,N/A
6,30,590.4049,3.2248,119.0646,3.4919,0.519960,0.435200,0.647100,N/A
6,31,590.4049,3.2248,119.0646,3.4919,0.519960,0.435200,0.647100,N/A
